Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
22/04/2023;Lojas Americanas Joao Pessoa Br;R$ 30,48;ALIMENTACAO;Neon;Crédito;Variável;Willian;abril;2023;sábado;Final de Semana;Acima da Média
22/04/2023;PIX enviado para LUCIENE EUGENIO DE SOUZA;R$ 7,00;COMPRAS;Neon;A vista;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
22/04/2023;Sorveteria Flor Di Lat Joao Pessoa Br;R$ 15,98;LAZER;Neon;Crédito;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
22/04/2023;Uber *Uber *Trip Sao Paulo Br;R$ 14,97;TRANSPORTE;Neon;Crédito;Variável;Willian;abril;2023;sábado;Final de Semana;Dentro da Média
23/04/2023;W&J Comercio e Servico - 1/3;R$ 51,66;PET;Nubank;Crédito;Fixa;Willian;abril;2023;domingo;Final de Semana;Acima da Média
24/04/2023;Thayanne;R$ 15,00;ALIMENTACAO;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Dentro da Média
24/04/2023;Karla renata;R$ 20,00;ALIMENTACAO;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Dentro da Média
24/04/2023;Marcia;R$ 21,00;ALIMENTACAO;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Dentro da Média
24/04/2023;Jhon Anderson;R$ 29,50;PET;Bradesco;A vista;Fixa;Willian;abril;2023;segunda-feira;Dias Úteis;Acima da Média
24/04/2023;Jhon Anderson;R$ 60,00;PET;Bradesco;A vista;variável;Willian;abril;2023;segunda-feira;Dias Úteis;Acima da Média
24/04/2023;Uber *Uber *Trip Sao Paulo Br;R$ 19,99;TRANSPORTE;Neon;Crédito;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Dentro da Média
24/04/2023;Uber;R$ 11,96;TRANSPORTE;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Dentro da Média
